TP/SL,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,leveraged percentual_difference,cumulative_profit
SL,SHORT,2021-11-25 21:01:52.095,4532.64,2021-11-25 21:03:07.879,4538.3,-0.20466641694026075,-0.6139992508207822,-0.6139992508207822
SL,SHORT,2021-11-25 21:03:08.970,4538.29,2021-11-25 21:05:23.015,4534.65,0.0002386953789229088,0.0007160861367687263,-0.6132831646840134
SL,SHORT,2021-11-25 21:05:44.643,4534.6075,2021-11-25 21:08:43.178,4537.54,-0.14460167844250169,-0.43380503532750503,-1.0470882000115185
