TP/SL,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,leveraged percentual_difference,cumulative_profit
TP,SHORT,2021-12-05 22:49:31.556,3.5208,2021-12-05 22:52:33.382,3.504,0.39926027397260055,1.9963013698630028,1.9963013698630028
SL,SHORT,2021-12-05 22:55:55.625,3.5198,2021-12-05 22:58:48.538,3.5277,-0.3038523683986676,-1.519261841993338,0.47703952786966486
TP,SHORT,2021-12-05 22:58:48.954,3.5281,2021-12-05 23:00:13.727,3.511,0.40684591284533383,2.0342295642266692,2.511269092096334
TP,SHORT,2021-12-05 23:01:34.648,3.5231,2021-12-05 23:05:00.170,3.506,0.4075402167712526,2.037701083856263,4.548970175952597
SL,LONG,2021-12-05 23:05:01.338,3.5046,2021-12-05 23:06:22.571,3.5009,-0.18553329909261584,-0.9276664954630792,3.621303680489518
SL,LONG,2021-12-05 23:06:34.520,3.4989,2021-12-05 23:07:27.934,3.4931,-0.24570007716710413,-1.2285003858355206,2.392803294653997
