TP/SL,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,leveraged percentual_difference,cumulative_profit
SL,LONG,2021-11-25 20:54:51.274,4526.37,2021-11-25 20:54:59.196,4525.76,-0.09347119214734266,-0.9347119214734266,-0.9347119214734266
SL,LONG,2021-11-25 20:54:59.621,4525.77,2021-11-25 20:55:09.350,4525.19,-0.0928103725995982,-0.9281037259959821,-1.8628156474694086
SL,LONG,2021-11-25 20:55:09.761,4525.2,2021-11-25 20:55:11.609,4525.19,-0.0802208963139799,-0.802208963139799,-2.6650246106092075
SL,LONG,2021-11-25 20:55:12.022,4525.2,2021-11-25 20:55:13.188,4525.19,-0.0802208963139799,-0.802208963139799,-3.4672335737490063
