TP/SL,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,leveraged percentual_difference,cumulative_profit
TP,SHORT,2021-11-28 00:40:00.000000000,4025.32,2021-11-28 00:41:56.317920512,4017.2,0.12204998506423245,1.2204998506423246,1.2204998506423246
SL,SHORT,2021-11-28 00:41:56.441921024,4017.37,2021-11-28 00:46:27.995986176,4021.84,-0.19109870109204377,-1.9109870109204377,-0.6904871602781131
TP,LONG,2021-11-28 00:46:27.995986176,4021.84,2021-11-28 00:46:52.919901440,4029.97,0.12206542279154949,1.2206542279154948,0.5301670676373818
SL,LONG,2021-11-28 00:46:52.919901440,4029.97,2021-11-28 00:47:07.365420544,4026.34,-0.17003908217678182,-1.7003908217678183,-1.1702237541304366
SL,SHORT,2021-11-28 00:47:19.858310400,4026.18,2021-11-28 00:47:51.338062848,4029.54,-0.16335085394362947,-1.6335085394362947,-2.803732293566731
SL,SHORT,2021-11-28 00:47:52.361062656,4029.02,2021-11-28 00:48:55.893483776,4032.35,-0.1625490842808766,-1.625490842808766,-4.429223136375497
SL,LONG,2021-11-28 00:48:55.893483776,4032.35,2021-11-28 00:49:41.180637184,4028.33,-0.17965384949223115,-1.7965384949223115,-6.225761631297809
SL,SHORT,2021-11-28 00:49:49.116464896,4026.71,2021-11-28 00:51:31.383840000,4030.18,-0.16606593253898835,-1.6606593253898836,-7.886420956687693
