TP/SL,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,leveraged percentual_difference,cumulative_profit
SL,SHORT,2021-12-06 22:10:11.750,3.7724,2021-12-06 22:10:47.390,3.7765,-0.1885227062094471,-0.9426135310472356,-0.9426135310472356
TP,SHORT,2021-12-06 22:11:12.273,3.7859,2021-12-06 22:11:58.755,3.777,0.15554249404288284,0.7777124702144143,-0.1649010608328213
SL,SHORT,2021-12-06 22:12:12.240,3.7774,2021-12-06 22:12:14.413,3.7792,-0.12761007620659934,-0.6380503810329967,-0.802951441865818
