TP/SL,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,leveraged percentual_difference,cumulative_profit
SL,LONG,2021-12-05 23:04:57.892,5.10179,2021-12-05 23:05:11.894,5.10077,-0.09998498566190425,-0.4999249283095213,-0.4999249283095213
SL,LONG,2021-12-05 23:05:13.332,5.09834,2021-12-05 23:07:15.586,5.08834,-0.27606381685020365,-1.3803190842510182,-1.8802440125605395
TP,LONG,2021-12-05 23:07:16.083,5.08828,2021-12-05 23:09:06.042,5.1102,0.35062158529011206,1.7531079264505602,-0.12713608610997928
SL,SHORT,2021-12-05 23:09:14.736,5.11247,2021-12-05 23:10:17.065,5.12389,-0.30278838929017227,-1.5139419464508612,-1.6410780325608405
SL,SHORT,2021-12-05 23:10:17.567,5.12623,2021-12-05 23:13:04.564,5.15346,-0.6081715197168565,-3.0408575985842825,-4.681935631145123
