TP/SL,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,leveraged percentual_difference,cumulative_profit
TP,LONG,2021-12-05 23:36:42.945,1.2073,2021-12-05 23:38:46.822,1.214,0.47473535989397225,2.373676799469861,2.373676799469861
SL,SHORT,2021-12-05 23:38:48.460,1.2139,2021-12-05 23:39:05.113,1.2146,-0.1376090894121458,-0.688045447060729,1.685631352409132
SL,SHORT,2021-12-05 23:39:05.642,1.2143,2021-12-05 23:39:48.264,1.2235,-0.8316403759705842,-4.158201879852921,-2.4725705274437892
SL,SHORT,2021-12-05 23:39:49.575,1.2218,2021-12-05 23:40:00.509,1.2235,-0.2188900694728267,-1.0944503473641334,-3.5670208748079224
