TP/SL,type,entry_time,entry_price,exit_time,exit_price,percentual_difference,leveraged percentual_difference,cumulative_profit
SL,LONG,2021-12-05 23:29:59.281,3.5237,2021-12-05 23:30:23.504,3.5204,-0.17361409881658083,-0.8680704940829042,-0.8680704940829042
SL,LONG,2021-12-05 23:30:23.947,3.5205,2021-12-05 23:30:47.590,3.5143,-0.2560409032807898,-1.280204516403949,-2.148275010486853
TP,LONG,2021-12-05 23:30:48.058,3.5158,2021-12-05 23:37:58.821,3.526,0.21000284430285468,1.0500142215142734,-1.0982607889725797
SL,SHORT,2021-12-05 23:37:59.546,3.5259,2021-12-05 23:38:13.366,3.5292,-0.17346820809248154,-0.8673410404624077,-1.9656018294349873
SL,SHORT,2021-12-05 23:38:13.797,3.5296,2021-12-05 23:39:28.186,3.5358,-0.25527914474801194,-1.2763957237400598,-3.241997553175047
